Niskin #,Cast #,Date,Time,Latitude [N],Longitude [W],CTD_Pressure [db],CTD_Depth [m],Sigma_theta [kg/m3],Salinity [psu],Temperature [C],PAR [units?],Oxygen [umol/L]
1.0,1.0,Mar 16 2018,552.583,19.62324,114.79166,1010.097,1001.514,27.3646,34.5273,4.5089,1e-12,7.865
2.0,1.0,Mar 16 2018,540.917,19.62324,114.79164,303.135,301.07,26.5717,34.6369,10.5942,1e-12,0.054
3.0,1.0,Mar 16 2018,721.833,19.62324,114.79168,253.915,252.214,26.4807,34.6776,11.2719,1e-12,0.32
4.0,1.0,Mar 16 2018,891.958,19.62324,114.79168,202.13,200.801,26.3657,34.7438,12.1543,1e-12,-0.912
5.0,1.0,Mar 16 2018,30.417,19.62324,114.79168,163.172,162.115,26.2108,34.7305,12.8888,0.1394,-0.397
6.0,1.0,Mar 16 2018,175.542,19.62324,114.79166,132.44,131.592,25.8061,34.2302,12.9696,0.96148,60.991
7.0,1.0,Mar 16 2018,283.958,19.62324,114.79166,123.501,122.713,25.489,33.9578,13.4967,1.7663,104.571
8.0,1.0,Mar 16 2018,380.167,19.62324,114.79166,113.562,112.84,25.2191,33.9283,14.6773,3.5113,124.368
9.0,1.0,Mar 16 2018,451.875,19.62324,114.79166,103.382,102.727,24.9796,33.9935,15.9894,7.2694,125.554
10.0,1.0,Mar 16 2018,545.667,19.62324,114.79166,92.735,92.15,24.5281,33.896,17.5979,18.35,177.013
11.0,1.0,Mar 16 2018,611.625,19.62323,114.79167,84.249,83.719,24.2049,33.7559,18.4788,38.838,228.497
12.0,1.0,Mar 16 2018,806.208,19.62324,114.79166,22.397,22.26,23.2784,34.2763,23.3732,525.33,213.949
1.0,2.0,Mar 19 2018,858.708,10.0,113.00082,1516.198,1502.164,27.5821,34.6087,3.007,1e-12,73.928
2.0,2.0,Mar 19 2018,172.0,10.00002,113.00084,1264.957,1253.995,27.5037,34.5857,3.6285,1e-12,53.59
3.0,2.0,Mar 19 2018,486.417,10.00002,113.00084,1011.628,1003.466,27.4006,34.5619,4.4301,1e-12,34.704
4.0,2.0,Mar 19 2018,643.042,10.00004,113.00084,911.252,904.116,27.3524,34.5524,4.7934,1e-12,28.214
5.0,2.0,Mar 19 2018,810.125,10.00002,113.00084,809.356,803.214,27.2807,34.5483,5.3791,1e-12,14.541
6.0,2.0,Mar 19 2018,976.958,10.00002,113.00084,709.616,704.399,27.2181,34.5484,5.8856,1e-12,7.217
7.0,2.0,Mar 19 2018,153.583,10.00002,113.00084,607.99,603.667,27.1085,34.5457,6.7079,1e-12,4.253
8.0,2.0,Mar 19 2018,301.542,10.00002,113.00084,506.96,503.478,26.9721,34.56,7.7546,1e-12,3.905
9.0,2.0,Mar 19 2018,448.5,10.00002,113.00084,406.454,403.76,26.8134,34.633,9.1532,1e-12,2.801
10.0,2.0,Mar 19 2018,611.625,10.00002,113.00082,306.489,304.531,26.6357,34.7101,10.5554,1e-12,5.581
11.0,2.0,Mar 19 2018,694.667,10.00002,113.00082,265.285,263.616,26.5746,34.7345,11.0003,1e-12,6.512
12.0,2.0,Mar 19 2018,782.542,10.00002,113.00082,225.443,224.046,26.4978,34.7597,11.5227,1e-12,7.477
1.0,2.2,Jan 01 2000,17.375,10.00002,113.00084,205.84,204.574,26.4546,34.7755,11.8166,1e-12,7.593
2.0,2.2,Jan 01 2000,107.833,10.00002,113.00084,185.434,184.304,26.406,34.7862,12.1137,1e-12,5.426
3.0,2.2,Jan 01 2000,181.833,10.00002,113.00084,165.726,164.723,26.3476,34.7987,12.463,1e-12,4.51
4.0,2.2,Jan 01 2000,249.708,10.00002,113.00084,145.457,144.583,26.2403,34.8006,13.0107,1e-12,2.757
5.0,2.2,Jan 01 2000,304.083,10.0,113.00084,134.437,133.634,26.2189,34.8001,13.1136,1e-12,2.768
6.0,2.2,Jan 01 2000,375.333,10.00002,113.00082,115.104,114.422,26.1254,34.7905,13.5337,1e-12,2.713
7.0,2.2,Jan 01 2000,454.958,10.00002,113.00082,94.635,94.078,25.7972,34.7534,14.9438,1e-12,2.86
8.0,2.2,Jan 01 2000,513.292,10.00002,113.00082,84.801,84.305,25.6476,34.7288,15.533,1e-12,3.236
9.0,2.2,Jan 01 2000,596.25,10.0,113.00084,73.807,73.377,25.0514,34.6119,17.6994,1e-12,11.474
10.0,2.2,Jan 01 2000,664.083,10.00002,113.00082,65.307,64.928,24.2072,34.4601,20.5507,1e-12,62.387
